,导演,上映日期,地区,评分,评价人数
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,"
                            2006",德国,9.2,519350
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,"
                            2008",英国 美国,9.2,504702
情书,岩井俊二 Shunji Iwai,"
                            1995",日本,8.9,995027
两杆大烟枪,Guy Ritchie,"
                            1998",英国,9.1,552794
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,"
                            2000",意大利 美国,8.9,899809
看不见的客人,奥里奥尔·保罗 Oriol Paulo,"
                            2016",西班牙,8.8,1148740
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            1998",美国,9.1,596389
音乐之声,罗伯特·怀斯 Robert Wise,"
                            1965",美国,9.1,552237
飞越疯人院,米洛斯·福尔曼 Miloš Forman,"
                            1975",美国,9.1,512887
小鞋子,马基德·马基迪 Majid Majidi,"
                            1997",伊朗,9.2,375670
阿凡达,詹姆斯·卡梅隆 James Cameron,"
                            2009",美国,8.8,1277989
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,"
                            2011",美国 英国,8.9,749528
沉默的羔羊,乔纳森·戴米 Jonathan Demme,"
                            1991",美国,8.9,807314
海豚湾,路易·西霍尤斯 Louie Psihoyos,"
                            2009",美国,9.3,338426
致命魔术,克里斯托弗·诺兰 Christopher Nolan,"
                            2006",英国 美国,8.9,790136
禁闭岛,Martin Scorsese,"
                            2010",美国,8.8,888228
布达佩斯大饭店,韦斯·安德森 Wes Anderson,"
                            2014",美国 德国 英国,8.9,842900
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,"
                            2004",美国 加拿大,8.8,861661
美国往事,赛尔乔·莱翁内 Sergio Leone,"
                            1984",美国 意大利,9.2,380777
心灵捕手,格斯·范·桑特 Gus Van Sant,"
                            1997",美国,8.9,651700
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,"
                            1994",美国,8.9,765664
春光乍泄,王家卫 Kar Wai Wong,"
                            1997",中国香港 日本 韩国,9.0,579081
摩登时代,查理·卓别林 Charles Chaplin,"
                            1936",美国,9.3,273048
七宗罪,大卫·芬奇 David Fincher,"
                            1995",美国,8.8,879636
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,"
                            1999",中国香港,8.8,887335
致命ID,詹姆斯·曼高德 James Mangold,"
                            2003",美国,8.8,748280
杀人回忆,奉俊昊 Joon-ho Bong,"
                            2003",韩国,8.9,641363
功夫,周星驰 Stephen Chow,"
                            2004",中国大陆 中国香港,8.7,995785
超脱,托尼·凯耶 Tony Kaye,"
                            2011",美国,9.0,511400
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,"
                            2004",英国 美国,8.9,638659
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,"
                            2003",美国,8.8,793806
红辣椒,今敏 Satoshi Kon,"
                            2006",日本,9.1,410664
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,"
                            2006",日本,8.9,658664
狩猎,托马斯·温特伯格 Thomas Vinterberg,"
                            2012",丹麦 瑞典,9.1,352728
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,"
                            2017",意大利 法国 巴西 美国,8.9,654974
7号房的礼物,李焕庆 Hwan-kyeong Lee,"
                            2013",韩国,8.9,508139
剪刀手爱德华,蒂姆·波顿 Tim Burton,"
                            1990",美国,8.7,975588
断背山,李安 Ang Lee,"
                            2005",美国 加拿大,8.8,660805
勇敢的心,梅尔·吉布森 Mel Gibson,"
                            1995",美国,8.9,529552
唐伯虎点秋香,李力持 Lik-Chi Lee,"
                            1993",中国香港,8.7,982515
入殓师,泷田洋二郎 Yôjirô Takita,"
                            2008",日本,8.9,612175
一一,杨德昌 Edward Yang,"
                            2000",中国台湾 日本,9.1,343030
第六感,M·奈特·沙马兰 M. Night Shyamalan,"
                            1999",美国,8.9,510848
哈利·波特与密室,Chris Columbus,"
                            2002",英国 美国,8.8,664730
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,"
                            2001",法国 德国,8.7,911529
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,"
                            1995",美国 奥地利 瑞士,8.8,608904
重庆森林,王家卫 Kar Wai Wong,"
                            1994",中国香港,8.8,738914
幽灵公主,宫崎骏 Hayao Miyazaki,"
                            1997",日本,8.9,484538
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,"
                            2012",美国 英国,8.8,664143
小森林 夏秋篇,森淳一 Junichi Mori,"
                            2014",日本,9.0,392703
阳光灿烂的日子,姜文 Wen Jiang,"
                            1994",中国大陆 中国香港,8.8,567543
菊次郎的夏天,北野武 Takeshi Kitano,"
                            1999",日本,8.9,543703
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,"
                            2014",美国,8.7,929554
完美的世界,克林特·伊斯特伍德 Clint Eastwood,"
                            1993",美国,9.1,283505
无人知晓,是枝裕和 Hirokazu Koreeda,"
                            2004",日本,9.1,288618
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,"
                            2004",美国 法国,8.9,501904
消失的爱人,大卫·芬奇 David Fincher,"
                            2014",美国,8.7,851723
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,"
                            2010",日本,8.9,504900
小森林 冬春篇,森淳一 Junichi Mori,"
                            2015",日本,9.0,350863
甜蜜蜜,陈可辛 Peter Chan,"
                            1996",中国香港,8.9,482627
