Book name,Author,URL,Coming Date,Publish,Ratings,Rating population,Price
追风筝的人,[美]卡勒德·胡赛尼,https://book.douban.com/subject/1770782/,2006,上海人民出版社,8.9,749617,29.00
一日三秋,刘震云,https://book.douban.com/subject/35496106/,2021,花城出版社,8.4,10537,58
麒麟,周游,https://book.douban.com/subject/35960214/,2022,长江文艺出版社,8.9,115,78
失踪的孩子:那不勒斯四部曲4,[意]埃莱娜·费兰特,https://book.douban.com/subject/30172069/,2018,人民文学出版社,9.2,63299,62.00
星汉灿烂，幸甚至哉,关心则乱,https://book.douban.com/subject/35783204/,2022,江苏凤凰文艺出版社,6.7,1646,52.00
刀锋,[英]毛姆,https://book.douban.com/subject/2035162/,2007,上海译文出版社,9.0,78083,18.00
新名字的故事:那不勒斯四部曲2,[意]埃莱娜·费兰特,https://book.douban.com/subject/26986954/,2017,人民文学出版社,9.2,73820,59.00
月亮与六便士,[英]威廉·萨默塞特·毛姆,https://book.douban.com/subject/26954760/,2017,浙江文艺出版社,8.8,198534,39.80
棋王,阿城,https://book.douban.com/subject/30330181/,2019,上海三联书店,9.1,17128,48.00
荒原狼,[德]赫尔曼•黑塞,https://book.douban.com/subject/35894424/,2022,江苏凤凰文艺出版社,9.3,573,59.9
素食者,[韩]韩江,https://book.douban.com/subject/35534519/,2021,四川文艺出版社,8.0,24616,48
三体Ⅲ:死神永生,刘慈欣,https://book.douban.com/subject/5363767/,2010,重庆出版社,9.2,251696,38.00
金色梦乡,[日]伊坂幸太郎,https://book.douban.com/subject/26864984/,2016,南海出版公司,8.9,43194,49.50
寂寞的游戏,袁哲生,https://book.douban.com/subject/27104286/,2017,北京联合出版公司,8.4,30078,38.00
挽救计划,[美]安迪·威尔,https://book.douban.com/subject/35494160/,2021,译林出版社,9.1,6836,68.00
罗杰疑案:阿加莎·克里斯蒂侦探作品集02,[英]阿加莎·克里斯蒂,https://book.douban.com/subject/21371175/,2013,新星出版社,9.2,50369,28.00
云边有个小卖部,张嘉佳,https://book.douban.com/subject/30254298/,2018,湖南文艺出版社,7.5,67364,42.00
包法利夫人,福楼拜,https://book.douban.com/subject/25897678/,2003,人民文学出版社,9.0,14303,28.00
椰风蕉雨:南洋故事集,刘以鬯、梅子编,https://book.douban.com/subject/35896343/,2022,四川人民出版社,7.0,407,69.80
远山淡影,[英]石黑一雄,https://book.douban.com/subject/5988624/,2011,上海译文出版社,8.2,32657,27.00
动物农场,[英]乔治·奥威尔,https://book.douban.com/subject/4908879/,2010,上海译文出版社,9.4,31477,22.00
桶川跟踪狂杀人事件,[日]清水洁,https://book.douban.com/subject/35094680/,2021,四川人民出版社,9.0,28078,45.00
山茶文具店,[日]小川糸,https://book.douban.com/subject/28656614/,2018,湖南文艺出版社,8.3,43886,49.80
